NAME	Description	GSM3118997	GSM3118998	GSM3118999	GSM3119000	GSM3119001	GSM3119002	GSM3119003	GSM3119004	GSM3119005	GSM3119006	GSM3119007	GSM3119008	GSM3119009	GSM3119010	GSM3119011	GSM3119012	GSM3119013	GSM3119014	GSM3119015	GSM3119016
ENSMUSG00000017969	N/A	31.79	26.644	27.03	23.869	27.491	25.115	40.621	36.129	37.116	26.982	17.891	39.362	46.21	53.992	31.27	31.861	62.179	60.327	38.895	67.206
ENSMUSG00000017978	N/A	3443.1	3159.3	3474.7	2899.5	3117.9	3073.2	3037.1	3544.8	3027.9	3564.4	3381.4	3134.8	3035.6	2583.5	3316.1	2840	3128.9	3016.4	3499.1	2920.9
ENSMUSG00000017999	N/A	1356.6	1379	1462.7	1454.8	1503.5	1372.2	1367.3	1379.5	1461.9	1420.7	1373.5	1428	1360.2	1528	1375.9	1496	1466.2	1529.9	1439.1	1516
ENSMUSG00000018001	N/A	1348.6	1318.5	1376	1281.4	1467.5	1353.9	1210.9	1274.4	1489.4	1326.8	1374.8	1331.7	1252.4	1407.9	1535.2	1242.6	1457.7	1380.9	1439.1	1525.1
ENSMUSG00000018008	N/A	406.54	411.77	394.74	438.44	405.74	421.25	375.1	341.59	429.82	378.68	317.91	309.43	318.73	353.65	349.92	335.99	311.66	319.55	301.08	336.03
ENSMUSG00000018012	N/A	704.27	606.35	560.49	564.07	546.04	663.26	503.87	518.13	565.11	418.69	484.43	467.97	407.59	461.64	394.6	590.88	600.29	434.55	435.05	381.27
ENSMUSG00000018040	N/A	3453.5	3125.4	2965.7	3062.8	3130.2	3284.4	3050	2912.5	3176.4	3197.8	3728.2	3236.4	2746.5	3103.2	2928.9	3536.6	3531.9	3580.1	3182.9	2795.5
ENSMUSG00000018042	N/A	1948.4	1634.2	1987.5	1871.8	1974.6	1830	1792.5	1852.5	1868.9	1477.5	1676.2	1500.1	1523.7	1367.4	1704.9	1422.2	1643.5	1617.5	1385.1	1366.1
ENSMUSG00000018068	N/A	1196.4	920.43	969.52	1134.4	975.47	865.33	1162.5	890.1	1024.9	1018.8	1202.8	1027.8	830.59	931.37	1076.6	935.55	777.62	928.48	935.64	984.83
ENSMUSG00000018076	N/A	4181.6	3974	4583.9	4713.5	5208.2	4195.3	3973.1	4508.8	4833.4	4472.5	5148.4	4780.3	5629.3	6373.8	6279.3	5029.7	5453.3	4973.2	5571.4	5924.5
ENSMUSG00000018102	N/A	549.6	702.44	600.78	561.55	631.35	643.86	706.98	676.61	620.19	616.86	622.05	686.65	689.59	711.35	729.63	685.01	733.86	639.09	687.87	739.27
ENSMUSG00000018126	N/A	93.536	91.236	65.791	113.06	62.567	121.01	64.821	49.267	122.12	68.851	68.811	32.802	37.916	58.042	13.401	44.895	26.867	56.557	23.769	60.744
ENSMUSG00000018143	N/A	290.39	283.4	285.6	307.79	291.03	288.82	230.76	234.02	286.15	267.96	334.42	358.63	295.03	394.15	324.61	372.19	404.55	361.96	344.29	369.63
ENSMUSG00000018160	N/A	1851.8	2143.6	1986	2094.2	2103.6	1819.7	2218.6	2048.7	1993.5	2134.4	2310.7	2393.4	2490.6	2165.1	2739.8	2482.3	2296	2744	2604.5	2405.2
ENSMUSG00000018166	N/A	353.97	339.11	376.89	396.98	439.86	447.5	371.64	362.12	365.17	378.68	381.21	445.01	464.47	380.65	425.86	325.85	438.32	430.78	412.72	545.41
ENSMUSG00000018167	N/A	1211.7	976.95	1114.9	1110.5	1177.4	1207.8	1022.4	1114.3	1127.8	1016	1237.2	1302.2	1109	1312	1207.6	1138.3	1364.1	1174.5	1225.9	1199.4
ENSMUSG00000018168	N/A	1.2227	4.037	5.61	8.7939	1.896	1.1416	4.3214	9.8535	5.9864	7.4433	0	3.2802	0	0	10.423	7.2411	5.3735	0.94262	8.6434	6.4621
ENSMUSG00000018169	N/A	104.54	108.19	102	100.5	103.33	106.17	120.13	117.42	137.69	96.763	104.59	116.99	80.571	109.33	68.496	88.342	103.63	92.376	95.797	104.69
ENSMUSG00000018171	N/A	3309.2	2982.5	3936.2	2914.6	2791.8	3048	4069	3746	3132.1	3015.5	3214.8	3466	3365	2786	3149.3	2994.9	2923.9	3685.6	4165.4	3152.2
ENSMUSG00000018189	N/A	1731.3	1588.1	1637.6	1533.9	1496.9	1666.7	1777.8	1620.9	1478.6	1626.4	1729.9	1681.6	1989.4	1811.4	1774.9	1889.9	1742.5	1858.8	1828.1	1750
ENSMUSG00000018196	N/A	2711.3	2847.7	2852.5	3167.1	2831.6	2735.3	3114	2822.2	2893.8	3007.1	2811.6	2666.8	3212.2	3177.5	3328	2683.6	2646.8	3008.8	2897.7	3136.7
ENSMUSG00000018199	N/A	1797.4	1268.4	1405.6	1775.1	1781.3	1268.3	1463.2	1354	1506.2	1876.6	1775.3	1590.9	1897	1784.5	2453.9	1823.3	1626.6	1253.7	1812.9	1881.8
ENSMUSG00000018209	N/A	1693.4	1848.1	1652.4	1736.2	1910.2	1631.3	1822.8	1705.5	1540.9	1860.8	2006.5	2283	2155.3	2034.2	2305	2270.8	2028.9	2345.2	2173.8	2144.1
ENSMUSG00000018217	N/A	559.38	662.87	548.76	533.92	617.13	639.29	612.77	641.3	683.64	619.65	573.88	613.39	530.82	568.27	592.64	622.74	637.91	648.52	587.03	630.71
ENSMUSG00000018238	N/A	24.454	30.681	21.93	15.075	26.543	17.124	32.843	18.886	59.864	31.634	19.267	33.895	49.764	40.494	22.336	26.068	27.635	34.877	19.448	19.386
ENSMUSG00000018239	N/A	211.53	207.5	224.91	252.51	255.01	213.48	253.23	248.8	197.55	243.77	273.87	232.89	323.47	264.56	278.45	279.51	244.88	224.34	287.39	274
ENSMUSG00000018286	N/A	2623.9	2627.3	2290.4	2394.5	2547.2	2537.8	2351.7	2269.6	2470	2460	2471.7	2307.1	2141	2297.4	2185.9	2489.5	2398.9	2359.4	2367.6	2304.4
ENSMUSG00000018287	N/A	1236.7	1517.1	1338.8	1366.8	1305.4	1224.9	1242	1319.5	1458.3	1407.7	1048.7	1206	1043.9	1178.4	1003.6	1089.1	1091.6	1132.1	1099.9	1205.8
ENSMUSG00000018293	N/A	2656.9	2689.4	2270	2301.5	2416.4	2690.7	2200.4	2313.9	2515.5	2618.2	2674	2313.6	2218.1	2323	2232.1	2822.6	2752.8	2487.6	2227.8	2343.2
ENSMUSG00000018322	N/A	2516.9	2594.2	2588.3	2555.3	2679	2504.6	2358.6	2473.2	2480.8	2473	2540.5	2283	2476.4	2620	2546.3	2531.5	2417.3	2470.6	2401.4	2317.3
ENSMUSG00000018326	N/A	21189	20040	22024	20561	20842	20911	20527	22188	20039	20947	23630	21160	23613	20779	20699	22553	20938	22230	22125	19309
ENSMUSG00000018334	N/A	1846.9	1774.7	1811.5	1628.1	1872.3	1831.1	1555.7	1707.9	1903.7	1717.5	2649.2	2211.9	2145.8	2572.7	2284.2	2530	2601.5	2316	2348.1	2203.6
ENSMUSG00000018339	N/A	259.21	250.29	220.32	244.97	222.78	291.11	222.12	247.98	270.58	254.93	239.46	186.97	212.09	213.27	230.8	276.61	227.99	251.68	211.04	253.32
ENSMUSG00000018340	N/A	4173	4217	3988.7	3757.5	3735	4218.2	3746.6	4176.2	3967.8	3879.8	4077.7	3731.7	3734.7	4031.9	3792.6	3910.2	4226.6	3898.7	3880.9	3859.2
ENSMUSG00000018341	N/A	1.2227	9.6888	5.1	5.0251	6.6359	4.5664	22.471	9.0324	5.9864	8.3737	5.5049	5.467	4.7394	4.0494	11.912	4.3447	2.3029	6.5983	5.7622	6.4621
ENSMUSG00000018347	N/A	533.7	523.19	515.61	547.74	463.56	554.81	581.66	546.05	498.07	479.16	495.44	520.45	443.14	516.98	518.19	521.36	542.72	505.24	540.93	533.77
ENSMUSG00000018362	N/A	1160.3	1245.8	1172.5	1147	1141.4	1167.8	1088.1	1130.7	1194.9	1346.3	1204.2	1118.5	1116.1	1187.8	1045.3	1134	1222.8	1145.3	1107.8	1154.1
ENSMUSG00000018363	N/A	1170.1	1260.3	1228.1	1183.4	1149.9	1190.7	1385.4	1255.5	1188.9	1245.8	1147.8	1295.7	1244.1	1303.9	1365.4	1139.8	1163	1231.1	1342.6	1292.4
ENSMUSG00000018372	N/A	371.09	413.39	366.69	402.01	506.22	344.76	477.94	458.19	439.4	468	426.63	460.32	560.44	531.83	559.88	425.78	337.76	534.46	512.12	648.8
ENSMUSG00000018377	N/A	1195.8	1280.5	1352.5	1371.9	1406.8	1350.5	1458.9	1370.5	1370.9	1394.7	1278.5	1434.5	1495.3	1398.4	1542.6	1394.6	1383.3	1429.9	1561.6	1554.8
ENSMUSG00000018378	N/A	1105.3	1207.9	1256.7	1021.4	1218.2	1147.3	1090.7	1248.9	1296.7	1058.8	975.74	813.48	851.92	1098.7	887.47	902.24	924.24	822.9	922.68	962.86
ENSMUSG00000018379	N/A	5736.2	6474.5	6891.2	6993.7	7004.6	5792.4	6745.7	6922.1	6386.3	7141.8	6337.5	7015.2	7117.5	7217.4	7378.2	6044.9	6133.4	6704.8	6736.8	7693.8
ENSMUSG00000018381	N/A	153.45	133.22	125.97	109.3	168.74	176.95	129.64	145.34	197.55	110.72	139	97.312	126.78	134.98	114.66	133.24	179.63	141.39	113.8	105.98
