Name	Log2ratio_Log10fdr
Fam167a	5.188504376
Spred1	5.160157116
Susd6	5.104777608
Sipa1l1	5.075945762
Chordc1	5.057998003
Cebpd	5.038713965
Tmem185a	5.029323643
Gadd45a	5.026227135
Dnajb4	5.000649141
Cbs	4.971908833
5330416C01Rik	4.951589674
Dnajb11	4.936728274
Slc36a1	4.884998799
Slco3a1	4.855238431
Prss35	4.854294648
Xbp1	4.827422407
Gm7694	4.820545017
Sesn1	4.811265734
Abhd6	4.768774107
Camk1g	4.749888286
Lurap1l	4.736145486
Aph1b	4.733765386
Hsp90b1	4.693007409
Sox8	4.641753225
Gm5093	4.622049666
Omp	4.620525568
Tent5a	4.617264785
Per1	4.602122511
Kcna5	4.600815172
Per2	4.595340913
Ak3	4.581106642
Arntl	4.54130836
Papola	4.53850679
Tbc1d4	4.530387225
Nxn	4.489786546
Islr2	4.489162589
Lman2	4.480615031
Mex3c	4.479531119
Trio	4.400051041
Stip1	4.393854663
C1qtnf9	4.383418116
Khdc3	4.363319798
Cfap157	4.324218552
Hsph1	4.315420722
Agtr2	4.312127622
Hspb8	4.254594279
Hapln2	4.241951204
Rab8b	4.232684922
Lyve1	4.190949687
Abhd15	4.174413193
Gpr139	4.173533083
Trim9	4.156288029
Ppp1r3c	4.1517222
Exoc6b	4.111350465
Arhgef17	4.086480984
Rilpl1	4.063714542
Wdr78	4.053131029
Heph	4.025503792
Plce1	4.007132896
Egr3	4.001005149
Lsm11	3.979109278
Ptgs2	3.976262803
Epha10	3.966573865
Stc1	3.964632016
Dusp6	3.930079243
Sap30	3.926345732
Dgkg	3.926222308
Cyp2r1	3.925629431
Tecrl	3.916079549
Syde2	3.905236354
Shank2	3.883150824
Tubd1	3.864055117
Sla	3.855839272
Klhl29	3.83956938
Fibin	3.835044911
Ncf1	3.824106605
Crispld1	3.81662015
Nhsl2	3.804823
Cdh24	3.784108918
Mfap3	3.763218896
Notch4	3.754639833
Kcnq2	3.737735468
Tmem82	3.731297767
Mapk6	3.719388489
Ptpru	3.707357558
Nrf1	3.690113979
Jak2	3.681456169
Sh3rf3	3.680640877
Txlng	3.673973618
Scd4	3.673415389
Gm14827	3.649678586
Il17ra	3.626765414
Arrdc2	3.623891758
Nasp	3.609028454
Zfp811	3.59474828
Crybb1	3.553621661
Kl	3.544006142
Trabd2b	3.51439257
Lyst	3.497018643
Mlec	3.47874252
Lonrf3	3.464926532
Peg10	3.440230816
Nat8f6	3.433536067
Atf3	3.431117865
Il17b	3.427687273
H4c14	3.425810613
Stoml3	3.409272748
Tmem151b	3.401141393
Slc2a4rg-ps	3.396854238
Hspa1a	3.395777212
Shisa7	3.382006075
Ackr3	3.370844563
Ccdc85a	3.367501331
Snap29	3.363656825
Golph3	3.288970785
Dnajb5	3.277704432
Klf4	3.26580421
Smarcad1	3.261075235
Spire1	3.256247444
Fndc9	3.254013085
Xlr3a	3.242503578
Ago2	3.240905371
Mslnl	3.224135856
Klf2	3.196485386
Bcl2	3.189274643
Ubxn2b	3.165290141
Lax1	3.164720777
Avil	3.155785268
Arhgef28	3.1476459
Scrt2	3.145135602
Nfkbiz	3.132743359
Farp2	3.128211988
Fgfr1op2	3.122776873
Paqr5	3.104369529
Uba6	3.102453157
Derl3	3.088035287
Dnajb1	3.083576784
Zfp651	3.072021192
Bhlhe40	3.07061585
Hspa8	3.062064743
Mtmr1	3.046177956
Serinc3	3.045448095
Tspan13	3.043998641
Trim40	3.042661516
Phyhd1	3.031056523
Senp8	3.027277342
Upk1a	3.015997048
Impg2	3.013287818
Tub	3.005056682
Socs7	2.996389064
Spry3	2.995372585
Dmpk	2.9899124
Stac3	2.989217336
Rngtt	2.989115661
Stt3b	2.988188505
Mmp23	2.954909219
Ang	2.950232812
Irf9	2.948900366
P4ha2	2.948114846
Ppp2r1b	2.946258065
Abcc4	2.926268299
Rnf19a	2.923662371
Srsf7	2.897113416
Mapk11	2.895691085
Kcne3	2.887494765
Plcl1	2.878415236
Ramp2	2.850043288
Ksr1	2.841555552
Scube2	2.840761418
Dnah10	2.826194688
Tmod4	2.822593799
Rrp1b	2.79931571
Nts	2.797206352
Ythdc1	2.791953844
Cfp	2.791703647
Vasn	2.785552274
Tsga10	2.776759665
3930402G23Rik	2.776350826
Nudt21	2.775781239
Ncbp3	2.775037364
Kcng1	2.771191564
Itch	2.770571009
Rgl1	2.766491123
Setd7	2.756580104
Cysltr1	2.751802986
Vav3	2.746215066
Ifit1bl2	2.739709743
Ranbp9	2.727700862
Snx16	2.719669083
Gm13416	2.706040804
Ormdl2	2.701153205
Slit3	2.699247547
Atf6	2.683567361
Ippk	2.675616988
Gm5862	2.669915678
Cfap100	2.668130323
1700014D04Rik	2.667124316
Plcd4	2.663726218
Aass	2.654816689
Zdhhc14	2.64491834
Kncn	2.635819014
Nus1	2.632590279
Mettl7a3	2.589220197
Ankrd13a	2.587160065
Gal3st2c	2.580263741
Fgf7	2.57572419
Net1	2.57471466
Gprc5a	2.57410087
Selenop	2.573865808
Gabpb1	2.569197823
Mau2	2.551744254
Ahnak	2.537924796
Nectin1	2.537643124
Tmem260	2.537576637
Ccpg1	2.534398728
Col20a1	2.533415491
Pnpla2	2.52283841
Rbm12b2	2.520270223
Camkk1	2.498363744
Rcan1	2.497771448
Kdm6b	2.497538431
Nr4a3	2.483590672
Impa1	2.47797148
Fzd1	2.477711049
Dnaja4	2.46733227
Amt	2.46596782
Htr2a	2.464635287
Ada	2.449502619
Rnf6	2.447221037
Arhgap26	2.440712434
D630045J12Rik	2.425539326
Olfml2b	2.424962365
H3c4	2.421205515
Hacd2	2.420808428
Dab1	2.409220371
