Name	Log2ratio_Log10fdr
Kcnk13	0.258333056
Srr	0.258191098
Snrnp48	0.258156601
Nt5e	0.257856321
Zfp940	0.257815946
Ccdc43	0.257027475
Gm11127	0.256784545
Cenpj	0.256564147
Dyrk2	0.256460974
Ubl3	0.256020382
Tmem114	0.256015624
Ncoa3	0.255782649
Abcf1	0.255598657
Rnf32	0.255381346
Ankrd50	0.254697006
Tram1l1	0.254597361
Npc1l1	0.254246285
Stat6	0.253969645
Txlna	0.253797283
Usp32	0.253586362
Chrm2	0.253446121
Cables1	0.253142704
Ap2b1	0.253050432
Hps5	0.252964643
Olfm3	0.252958371
Yipf6	0.252893223
Slc25a20	0.252751203
Pde7a	0.252414149
Arid3c	0.252360873
Cd55	0.252353455
Mob3c	0.252278498
Hspa4	0.252055235
Zfp950	0.251656044
Polr2k	0.251622369
Tmem168	0.250856022
Cwc25	0.250337144
Arl6ip6	0.250217098
Rhot1	0.250081064
Zfp609	0.249972165
Sec14l4	0.249849795
Tpst1	0.249641791
Rab39b	0.249376839
Selenoi	0.249222551
1810013L24Rik	0.24915885
Col8a1	0.248953544
Klf15	0.248842572
Zbtb7a	0.248493477
Yy1	0.248461879
Sugt1	0.248378788
Ccnt1	0.248175807
Mc3r	0.248059405
Slc66a1	0.247473061
Gtf3c3	0.247421271
Etnk1	0.247240876
Gm3264	0.246994864
Wdr37	0.246946433
Galnt11	0.246803738
Myo9a	0.246204455
Tmem128	0.245761205
Alg10b	0.245636081
Abca5	0.244840485
Pag1	0.244716819
Pwwp2a	0.244619606
Ccny	0.244608046
Dynll1	0.244432484
Zdhhc6	0.244066656
Foxc2	0.243987309
Samd8	0.243881061
Epha6	0.243580621
Gdf9	0.243338123
Acsm5	0.243215373
Zfp973	0.242786679
Ptprq	0.242694515
Ghitm	0.242506949
6030468B19Rik	0.24238901
Gmppb	0.242329511
Rnd3	0.242276454
Syvn1	0.24202574
Rims3	0.241946794
Nedd4	0.241870974
Cep83	0.24180649
Adap2	0.241564619
Lama1	0.241563605
St6galnac4	0.241555986
Arid5b	0.241441536
Btbd1	0.241233399
Ppp6c	0.24116054
Pdpk1	0.241103274
Zfp442	0.240924731
Dda1	0.240397186
Opn1mw	0.24028745
Bub1	0.239840884
Suz12	0.23977127
Lpgat1	0.23951715
Rasgrp1	0.2393937
Sema3c	0.23927441
Cwh43	0.239082998
Tmem170b	0.238654449
Prpf4	0.238519885
Hrob	0.238260357
Gpr27	0.238171771
Il1rap	0.237957659
Pdzd7	0.23779863
Poc5	0.237783104
Dchs2	0.237677376
Spin4	0.237277519
Akap5	0.237219963
Xpo7	0.237213985
Elapor2	0.237191897
Eapp	0.237111656
Thoc2	0.237068456
Spo11	0.236897163
AI504432	0.236843065
4932435O22Rik	0.236368199
Eps15	0.236144189
Zbed6	0.235872396
Osbpl6	0.235192322
Dpy19l3	0.23516627
Cog6	0.235160549
Nnt	0.235026913
Tvp23b	0.2349161
Acsl4	0.234581042
Pdzk1	0.234319561
Chic2	0.23425648
Zfp182	0.23403588
Spc25	0.233979889
Sertad4	0.23361418
Armc1	0.233414105
F630040K05Rik	0.233334348
Acot3	0.233334057
Hnrnpul2	0.23319323
Gnai3	0.233139855
Slc49a4	0.233124141
Zfp72	0.233096859
Akap6	0.232664864
Slc44a2	0.232335944
Hpgd	0.231704866
Sorcs2	0.231674303
Klhl33	0.231651462
Elovl6	0.231572145
Il16	0.231345375
Gm10575	0.231304501
Jagn1	0.231289349
Rab39	0.231251838
Chd2	0.231048186
Ttll3	0.23068211
Dleu2	0.230626169
Cd2bp2	0.230617148
Trappc10	0.230552384
Pofut2	0.23048867
Amhr2	0.230094443
Man1a2	0.229984895
Brms1l	0.229930672
Pdgfc	0.22972861
Gm13238	0.22914478
Zfp27	0.229041838
Pdcd6ip	0.229012551
Atp6v0a4	0.22884439
Rbms3	0.228787529
Gm14824	0.22843696
Tbx6	0.228316125
Zfp598	0.228199957
Vim	0.228024395
Xpr1	0.22795984
Trpc6	0.227778675
Atp2b1	0.227724404
Cmtm4	0.227584603
Cdk7	0.227394355
4933427D14Rik	0.227331141
Gm14296	0.227311577
Cisd2	0.227152728
Sgms2	0.227064369
Psen1	0.226798617
Cr2	0.226474869
Mafb	0.2263301
Dcp1a	0.226145483
Zfp970	0.225158319
Snta1	0.224965502
Stox2	0.224749346
Cacng2	0.224628521
Imp4	0.224495992
Vmn2r-ps54	0.223900523
Tti2	0.223645356
D5Ertd579e	0.223538204
Tbc1d15	0.223110102
Tal2	0.222966317
Nhs	0.22296364
Dync2h1	0.22293956
Trappc11	0.222922011
Tpp2	0.22272317
Kif6	0.222618822
Cdk14	0.222603718
Gmeb1	0.222004796
Dydc2	0.221820213
Kdm5c	0.221706675
Aggf1	0.220947618
Tarsl2	0.22086787
Usp38	0.220789949
Cyb5d1	0.220772426
Plk1	0.220548526
Ddah1	0.220386479
Mcm5	0.220354511
Pum1	0.220224493
Tro	0.220061732
Tbck	0.219846182
H4f16	0.219829032
Cnot2	0.219576198
Arih2	0.219559107
Gng12	0.21952167
Pikfyve	0.219474191
Cdh26	0.219473505
Kin	0.219471323
Akap13	0.219299886
Atl2	0.219003266
Jam3	0.218559406
H2bc4	0.218336112
Zfp987	0.218250378
Thsd4	0.218100103
Slc38a6	0.21808268
Sall3	0.217598162
Utp14a	0.217578506
Serpina9	0.217478849
Rmdn1	0.217177449
Gad2	0.216911893
Ptpn11	0.216897729
Glis3	0.216876991
Per3	0.21651828
Rfx3	0.216397162
Oas2	0.216262363
Amer2	0.216187889
Tmem167	0.21609692
Eif5b	0.216082283
Ap1s3	0.215699541
Als2	0.21561661
Kif5b	0.215439662
Dpf3	0.215121002
Scn3a	0.21511836
Ezh2	0.214796649
Trmt61b	0.214747269
Taok1	0.214699568
Cbx1	0.214184525
Ror1	0.214018612
Camkmt	0.21395572
Lpin1	0.213846644
Tmed8	0.213842973
Rlim	0.213719789
Ccdc50	0.213669193
Ntrk2	0.213319231
Mmp21	0.212766887
Lrrtm1	0.212584917
Ralgps2	0.212556597
Agpat4	0.212522244
Ssbp3	0.2124373
Nkx2-1	0.212435082
Srgap3	0.211912315
Pdgfd	0.211801213
Lamtor3	0.211161797
Paip2	0.211134325
C330018D20Rik	0.211103182
Samd12	0.211087059
Alpk2	0.21081638
Ptp4a2	0.2104546
Zfand3	0.210378987
Irag1	0.210297155
Rasal3	0.210260403
Dmp1	0.209977913
Dclre1b	0.209645807
Cacna2d3	0.209423632
Tspan8	0.209245558
Arsk	0.209227148
Fam169b	0.209196027
Rnf24	0.209144501
Ttc4	0.209122832
Ttyh3	0.208977877
Fgf10	0.208824939
St6gal1	0.208817242
Adgrd1	0.208542566
Lrp5	0.208405206
Edaradd	0.208394392
Myo9b	0.208217252
Snx6	0.208132388
Larp4	0.208131917
Cdo1	0.207579041
Slc25a46	0.207561567
Pbrm1	0.207441647
Strn3	0.207297053
Lsm2	0.20702978
Extl2	0.206479617
Slc19a2	0.206441609
Cacnb4	0.206294467
Yars2	0.206291032
Slc66a2	0.206226834
Clmp	0.206216011
BC016579	0.206044027
Itga1	0.205969478
Hyls1	0.20593124
Ankrd12	0.205878647
Raph1	0.205875984
Stxbp5l	0.205872722
Wdr31	0.205798456
Acan	0.205632577
Tbcel	0.205253306
Slfn5	0.205200589
Vav2	0.204998717
Tnnc2	0.204980806
Shq1	0.204806666
Coro2b	0.204513568
Cgas	0.204464636
G2e3	0.204171486
Sec62	0.204132651
Pnpla7	0.203729259
Sptbn2	0.203413357
Eif4enif1	0.2033367
Lrrc2	0.203318953
Zfp729a	0.20300235
Rbm6	0.202540609
Slc38a9	0.202437003
Slc16a9	0.202073843
Pgm2l1	0.201767584
Med17	0.201554206
Wdfy3	0.201538343
Pcyt1a	0.201356978
Adcy1	0.201279782
Gas2l1	0.200693546
Sarnp	0.200659007
Xkr8	0.200370653
Cpsf6	0.200118706
Cept1	0.200017312
Bcor	0.200002905
Slc22a13	0.199684228
Inpp5f	0.199344262
Gabrb1	0.199054764
Dstyk	0.198899117
Agap3	0.198880495
Fam234b	0.198876679
Gtpbp4	0.198734706
Olfr982	0.198696762
Thbs4	0.198627042
Sdhaf2	0.198622282
Thegl	0.198491493
Gje1	0.198429677
Mob1a	0.19842575
Ncoa4	0.198179056
Lpin2	0.19817541
Mrtfa	0.198000265
Etf1	0.197923556
Hmbox1	0.197446384
Dip2c	0.197258678
Neurod4	0.197228117
Btbd16	0.197004113
Pim1	0.196986288
Kcnk4	0.196862316
Zfp804a	0.196647036
Inpp5a	0.19661428
Tubgcp5	0.196579001
2810004N23Rik	0.196539715
Phf21a	0.196493105
Osmr	0.196243019
Rexo2	0.196206762
Kcnj13	0.195953133
Ripk4	0.195905381
Actg-ps1	0.195764706
Dsel	0.195762966
Slc7a4	0.195506803
St8sia5	0.195418039
Zhx1	0.195321057
Ly6g6e	0.195166953
Zfp872	0.194733151
Zfp266	0.194718996
Cnksr1	0.194624045
Arnt	0.19456973
Myhas	0.194527168
Ralgapa2	0.194480974
Zfp758	0.194451398
Tex10	0.194026227
Sort1	0.194020702
Pdzd8	0.193890412
Cers4	0.19347865
Kif21a	0.193441323
Slc1a7	0.19340327
Myc	0.193241542
Lztfl1	0.193222398
Cstl1	0.193151222
Ptpro	0.193103158
Dact1	0.192744852
Bend4	0.192724604
Nifk	0.192471991
Slc38a1	0.191988191
Hibadh	0.191844354
1810030O07Rik	0.191714661
Rpp30	0.191511109
A330015K06Rik	0.191496484
4932702P03Rik	0.191242031
Nup205	0.191209404
Mark3	0.19113829
Mgll	0.190935314
Ttc30a1	0.190706006
Ctr9	0.190686004
Twistnb	0.190565672
Gm16287	0.190446781
Hnrnpa3	0.189984923
Bclaf3	0.189967462
Wnk2	0.189676539
Cnksr3	0.189500748
Zfp595	0.189446232
Mtres1	0.189405152
Senp6	0.189232799
Htr5a	0.189192862
Ppp2r2c	0.188938588
Plppr5	0.188909336
Nkain3	0.188774669
Rem2	0.18861396
Ifngr1	0.188370186
Gm14584	0.188298676
Cyp2j8	0.188266177
Fbxo40	0.18824
Uxt	0.188089667
Cdc42bpa	0.188035051
Ccdc93	0.187929206
Zfp706	0.187786568
Npr3	0.187673476
Rxrg	0.187590479
Nup153	0.18752499
Copb1	0.187483939
A4galt	0.187459527
Rab26	0.187378557
Mbnl2	0.187376318
Ldlrap1	0.187017274
C130026I21Rik	0.187007005
Ppp2r5a	0.186913487
Pakap	0.186720091
Tmem171	0.186706859
Dclk3	0.186240755
Cript	0.186212052
Pcmtd1	0.185864509
Marchf4	0.185575253
Mgp	0.185561378
Creb3l1	0.18509973
Usp18	0.185029874
Snx24	0.184840119
Abca7	0.184723153
Itpkb	0.184601327
Lif	0.184544517
Stc2	0.184528248
Lzts3	0.184408066
Ddx41	0.184260823
Kif19a	0.184176279
Zfp37	0.183965646
Gpatch2	0.18391474
Ppfia1	0.183884567
Anapc16	0.18360419
Igdcc3	0.183593394
Slc45a4	0.183503417
Zfp84	0.183422266
Crbn	0.183382708
Zfp791	0.18330186
Itgb5	0.183230161
Klf12	0.182754759
Sirt1	0.182688683
Slc25a48	0.182678055
Commd6	0.182470449
Topors	0.182432855
Il12rb1	0.182406353
Cnih1	0.182388531
Sub1	0.182314124
Ssh1	0.182244449
Mdga2	0.182119821
Abce1	0.18211385
Urb2	0.181823985
Siah1b	0.181803169
Zfp977	0.181792515
Mylip	0.18178217
Rpl7l1	0.181557901
Anapc10	0.181448152
Rsl1	0.181279947
Chgb	0.181263083
Hcar1	0.181157513
Anks3	0.181018295
Camsap2	0.180715334
Acbd3	0.180703756
Trpm3	0.180286269
Wac	0.180213623
Cep290	0.180204391
Vopp1	0.180039838
Stac	0.180022246
Otud1	0.179934113
Aqr	0.179779664
Fam107b	0.179573373
Tmco5	0.179567607
Cdkn2d	0.179545361
Tmcc1	0.179392206
Lmo1	0.179376491
Akirin2	0.179343952
G730013B05Rik	0.179065238
Npm2	0.178765212
Ro60	0.17863819
Klhl42	0.178515941
Gcc1	0.178145942
Gm21092	0.177805178
Plekha8	0.17751139
Ttc30a2	0.177492357
Eya2	0.177458087
Nadk2	0.177406989
Heatr5b	0.177347547
Tnks	0.177246434
Dpp8	0.177194959
Havcr2	0.177192445
Clp1	0.177123292
Nipa2	0.177006599
Cntnap5b	0.177004186
Gm3363	0.176968135
Cdadc1	0.176963535
Safb2	0.176734392
Ido1	0.17643057
Plekhf2	0.176339549
Oaf	0.176338932
Golph3l	0.176281654
Mapk1ip1l	0.176179403
Fam184a	0.17615614
Mthfd2l	0.176105642
Olfr398	0.175768681
Dhx36	0.175712796
Klhl8	0.17553374
Inip	0.175403065
Mbd4	0.174975084
Unc5a	0.174913515
Guca1b	0.174446641
Sptlc1	0.174442799
Kdm3a	0.174340944
Ampd2	0.174170484
AY512931	0.174148512
Dnaic2	0.174117906
Slc25a38	0.174022633
Nol8	0.173757033
Gm21244	0.173695551
Six1	0.173419246
Atxn7l1	0.173355285
Prdm15	0.173099042
Ep300	0.17293321
Usf3	0.172712447
Pak3	0.172673198
Chmp5	0.17251415
Mal	0.172498644
Atrx	0.172362283
Hivep1	0.172051811
Adam3	0.171847081
Pip4k2b	0.171831934
Pde7b	0.171731449
Ube2a	0.171526492
Medag	0.171410027
Zfp955b	0.171178981
Kmt2c	0.171131256
Cyb561d1	0.171055669
Tmem41b	0.170896713
Zfp322a	0.170236576
Ears2	0.169947569
R3hcc1l	0.169832137
Hpcal4	0.169731979
Dgkb	0.169677023
Ncoa7	0.169636961
9230114K14Rik	0.16959993
Zbtb3	0.169519586
Cenpq	0.169472137
Cab39l	0.169324831
Zfp93	0.169239096
Kcng3	0.168803703
Sh3bp5	0.168687818
Zfp488	0.168560718
Cilp2	0.168424249
Mars2	0.168348743
Bcat1	0.168335587
Map2	0.168314049
Zfp830	0.167928307
Snx30	0.167666036
Ints6	0.167616689
Mcm4	0.167528518
Col6a3	0.167236682
Rbm17	0.166759764
Fam78a	0.166651744
Lingo3	0.166261809
Gm10516	0.166247402
Kcmf1	0.166203263
Serbp1	0.166178218
Neurod6	0.166061925
Strc	0.165912732
Zfp369	0.165876184
Kidins220	0.165857209
Siah1a	0.165815167
Rchy1	0.165575282
Senp5	0.165492214
Gm16677	0.165229986
Col7a1	0.16521362
Parg	0.165211161
1700025N23Rik	0.16513218
Phf2	0.165037954
Rabep1	0.164928923
Lmln	0.164691911
Tmed4	0.16468454
Fgf5	0.164616029
Cggbp1	0.164218824
Bag3	0.16420158
C130080G10Rik	0.164162431
Sap25	0.164124397
Wnk3	0.163971676
Psat1	0.163934412
Zc3h13	0.163907171
Gvin2	0.163891616
Gng7	0.163792875
Chac2	0.163786693
Cyth1	0.163785507
Ddx18	0.163690075
Leo1	0.1633
Zfp759	0.163109788
Eif4e2	0.163104482
Polr2h	0.163058682
Ankrd52	0.162899111
Ch25h	0.162842345
Yod1	0.162823835
Arhgef18	0.162769806
Tnfrsf11b	0.162558912
Epgn	0.162552467
Phf6	0.162472954
Fbxo30	0.162461002
Xrcc2	0.162281402
Ptpn2	0.161938927
Adnp	0.161893819
Kcnma1	0.161835734
Tjap1	0.161788652
Dsp	0.161706664
Kmt2d	0.161613432
Fyco1	0.16159606
Mtcp1	0.161527773
Prpsap1	0.161518603
Farsb	0.161232596
Tab3	0.16113372
Dnm1l	0.160924735
Gm14430	0.160772982
Cnot6	0.160679018
Ormdl1	0.160553826
Clec4n	0.160533119
Phip	0.160035051
A330048O09Rik	0.159984722
Eml6	0.159971695
Tnfrsf12a	0.159838729
Cutal	0.159753416
Rcan2	0.159701496
Cinp	0.159589053
Rock1	0.159542335
LOC115489645	0.15933795
Rprml	0.159223295
Pgap1	0.15917723
Socs5	0.159084736
Slco1a6	0.158815647
Bcl2l15	0.158598198
Sec22c	0.158554552
Lin7c	0.158528524
Zfp7	0.158348459
Tuft1	0.158164918
Zfp382	0.158115277
Mbd1	0.157996337
Pycr2	0.157964183
Zfx	0.157918743
Marveld2	0.157811624
Bsn	0.157765722
Cnot8	0.157612493
Zfp738	0.157410392
Rpp14	0.157377339
Haus3	0.157365302
Esco1	0.157262508
Ube2j1	0.157210849
Tmem184a	0.15716485
Baalc	0.156977748
Msantd3	0.156870889
Tor1aip1	0.156813743
Mterf4	0.156517529
Mcm7	0.156486262
Grhl3	0.156435813
Shprh	0.156277921
Osgin1	0.156216345
Uggt1	0.155963951
Slitrk6	0.155887978
Zfp78	0.155791201
Cnst	0.155761233
Nlrp1c-ps	0.15569448
Psmb11	0.155608555
Nek6	0.155554314
Atad2b	0.155385435
Zfp672	0.155352295
Akr1c18	0.155343168
Cnnm4	0.155251961
Apba3	0.155224168
Nefh	0.155199046
Comp	0.155066357
Pacrgl	0.154896442
Rilpl2	0.154628506
Dalrd3	0.154544892
Trnt1	0.154466473
AA986860	0.154451672
Gm15789	0.154332179
9430015G10Rik	0.154196803
2810025M15Rik	0.154012016
Fcho2	0.153303058
Gzf1	0.1532315
Ppp1r13b	0.152910415
Mrpl24	0.152517803
Brdt	0.152366078
Tmed9	0.152114313
Fam13a	0.151989113
Atp4a	0.151885564
Cnbd2	0.151781241
Zfp874a	0.151723129
Irak1bp1	0.151649198
Asic1	0.151606202
Gm609	0.151580345
Dennd5b	0.151373862
Exd2	0.151342711
Hbs1l	0.151148637
D10Wsu102e	0.151071178
Inf2	0.150754322
Hydin	0.150632977
Tmem100	0.150580073
1700003E16Rik	0.150536188
Med20	0.150449347
Echdc1	0.15030331
Orc1	0.150164048
Rabggtb	0.150161808
Wdr26	0.150010399
Cbx2	0.149861406
Mospd1	0.149277943
Flcn	0.149258298
Uba5	0.149198394
Slc44a5	0.149191521
Nckap1	0.149086629
A930024E05Rik	0.148994996
Gas7	0.148922021
Mpp6	0.148913447
Aff2	0.14882043
Paqr3	0.148770963
Lgr5	0.14846701
Selenot	0.1483479
Tjp1	0.148345189
Fam81a	0.14831043
Plxnc1	0.148310248
Zfp346	0.148251478
Brca1	0.148140901
Pomt1	0.148059402
Crebrf	0.147902941
Slx4	0.147824342
Sf3b3	0.147680364
Vcpip1	0.14766427
Pten	0.14766103
Atp13a3	0.147624895
Gm14400	0.147597414
Mfsd14a	0.147579058
9530059O14Rik	0.147431995
Atg14	0.147328348
Dmbx1	0.147267935
Fhod1	0.147245253
Smc3	0.147210178
Txnip	0.147204012
Topbp1	0.147154661
Ahdc1	0.146971794
Dcun1d3	0.146805197
Sh2b1	0.146689259
Drd1	0.14668184
Star	0.146625598
Ide	0.146574551
Nos1	0.146509721
Elmo1	0.146427147
Atxn3	0.14617141
Rtn4rl1	0.146022073
Usp19	0.145873746
Sv2c	0.145420399
Jhy	0.145373131
Mrpl15	0.145367103
B4galt5	0.145223762
Acot1	0.145042465
Csnk1d	0.144964459
Rassf8	0.144960773
Spata48	0.144947047
Rasal2	0.144748868
Lztr1	0.144635712
Cdh2	0.144571664
Cpeb3	0.14450262
Pcdh1	0.144452001
Stbd1	0.144447585
5031439G07Rik	0.144391373
Naa15	0.144293527
Gm1070	0.144270708
Rab31	0.144035574
Golga3	0.144030151
Cdk17	0.144030144
Rapgef5	0.144025456
Hus1	0.143969766
Gspt1	0.143790335
Dmrta1	0.143759844
Gfap	0.143710555
Slc24a2	0.143704653
Ing3	0.143524056
Spata17	0.143449375
Cnot4	0.143444503
Esf1	0.1431601
Cdk5rap1	0.143049391
Zfp319	0.143016301
Pvr	0.143003092
Vamp4	0.142711795
Snx13	0.142705044
Rasgef1a	0.142640741
Tfdp2	0.142634558
Degs2	0.142580454
Dgcr8	0.142528908
Mecom	0.142398329
Etaa1	0.142374873
Dynlrb2	0.142362406
Serac1	0.142315765
Zbtb9	0.142206181
Slc22a7	0.142202857
4933427D06Rik	0.142071064
Pip5k1b	0.141911473
Dffa	0.141874755
Zfp131	0.14180848
Tmem106b	0.141738346
Il21	0.141691249
Slc25a25	0.141607204
Slx4ip	0.141596294
Mpp5	0.141540389
Uvrag	0.141533745
Teddm1b	0.141351356
Nt5c1a	0.141349358
Vcan	0.141344145
Nsd3	0.141333325
Trmt44	0.141280489
Ptma	0.141278204
Ormdl3	0.140837654
Usp27x	0.140740055
Slc1a2	0.140736327
Pak1	0.140710413
Recql	0.140636112
Zmym6	0.140525851
Tmx1	0.140444391
1600020E01Rik	0.140275847
Rbm14	0.140147884
Phtf1	0.140025034
Gm14305	0.14000522
Tcp11	0.139986694
Fam227a	0.139586742
Zfp608	0.139326493
Ap3m1	0.139149348
Pak2	0.139080644
Hmg20a	0.138990096
Zfp729b	0.138983434
Ilrun	0.138959046
Pitpnc1	0.138647065
Agmo	0.138549276
Bmp6	0.138370766
Shisa6	0.138327277
Dnajb6	0.138324104
Ddx50	0.138262535
Psmd7	0.138148069
Slc4a1ap	0.138059884
Spon1	0.138058765
Gpr101	0.137981379
Rabl6	0.137804932
Lman1	0.137783064
Dph1	0.137591688
Shank3	0.137532295
Cdc14b	0.137495359
Calm1	0.137474652
Caln1	0.137055525
Slc7a2	0.13677114
Polr3k	0.1367679
Shisa9	0.136499347
Spsb4	0.136406577
Foxp2	0.136174146
Dzip1	0.136142379
Zfp113	0.135978331
Rab13	0.135924549
Amotl1	0.135911927
Tnfrsf4	0.135754515
Tbc1d10a	0.135730883
Osgep	0.1357303
Polr3gl	0.135694281
Cacna1i	0.135669039
5830444B04Rik	0.135456147
Smug1	0.135450029
Abhd17c	0.135068512
Jun	0.134931819
Hsd17b12	0.134770083
Ank3	0.134258821
Clec3b	0.134077338
Gsg1l	0.13402979
Snhg6	0.133997287
Rp2	0.133963397
Stambpl1	0.133909227
Ttc3	0.133878767
Slc12a6	0.133848849
Rcsd1	0.133749124
Glra3	0.133549327
Uhrf1bp1l	0.133529834
Uso1	0.133422323
Ap3m2	0.13339057
Vps26b	0.133298831
Stx5a	0.133098922
Llph	0.132939735
Ubxn4	0.132838956
Ptpn14	0.132788954
Ccdc92	0.132626501
Kat8	0.132609952
Zdhhc20	0.132481225
Emsy	0.13246629
Uhmk1	0.132215587
Clic4	0.132099852
Tmcc2	0.132013241
Ndc1	0.13198742
Usp8	0.131954852
Jrkl	0.131811167
Kcna2	0.131424
Hc	0.131391595
Zfp869	0.131335179
Kcnk6	0.131299549
Chic1	0.131280912
Prrc2c	0.130862219
Stx4a	0.130611184
Mettl6	0.130204729
Slc9a5	0.130195356
Hs6st1	0.130135663
Usp33	0.130128431
Snrnp70	0.13012362
Atp2c2	0.130123478
Fgf16	0.129900625
Slc22a13b	0.129899721
Septin9	0.129867439
Tex261	0.129833788
Srsf11	0.129696357
Ifi30	0.129694051
4933407K13Rik	0.129479565
Syne1	0.129163478
Dnajb9	0.129062916
Ggcx	0.129061056
Zfp563	0.129057919
Nthl1	0.12902487
Golm2	0.128948332
Cabyr	0.128810873
Psg16	0.128669827
Mob4	0.128332742
Mrps18c	0.128302723
Ccdc127	0.128213848
Pdik1l	0.128127734
Slc9a2	0.128027769
Ndst3	0.127804301
Lyar	0.127657536
Rer1	0.127592235
Clk2	0.127503822
Madd	0.127464208
Grpr	0.127274322
Dcp2	0.127091308
Rassf6	0.126968981
Homer2	0.126933977
Gm23284	0.126828904
Ccnc	0.12670767
Skp2	0.12663219
Ccdc39	0.1266188
Glp1r	0.126389501
Lnpk	0.12620704
Eif3a	0.126206998
Pnpla6	0.126162495
Epop	0.125953399
Epb41l4b	0.125941708
Tor1aip2	0.12589086
H2bc21	0.125888706
Nup155	0.125829079
Utp18	0.125827488
H2-T22	0.125825776
Rgs9bp	0.125718231
Spef2	0.125708506
Mindy4b-ps	0.125698053
Gm4810	0.125576685
Epn2	0.1253853
Mindy2	0.125315556
Stard3	0.12527329
Lonrf1	0.125230107
Hectd1	0.125025335
Zdhhc9	0.124885746
Tbc1d19	0.12483806
Rbsn	0.124638343
Milr1	0.124607818
Gramd1b	0.124251874
Ugt1a7c	0.124203928
Tarbp1	0.124100258
Paip2b	0.124097206
Fam174b	0.123972515
Cops2	0.123938917
Anxa2	0.123863422
Erich1	0.123728442
Mrc1	0.123719251
Ubac1	0.123515756
Senp2	0.123369716
Txndc15	0.123219792
Ccl9	0.12320605
Cr1l	0.12319369
Ythdf1	0.123041363
Cfap61	0.123015468
Gm17205	0.122744722
Taf15	0.122474944
Flt3	0.12232042
Rgcc	0.12218186
Scrn3	0.122155624
Mapk8ip3	0.122113423
Mbtps2	0.122059911
Exosc3	0.121905993
Ung	0.121902452
Surf4	0.121901338
Marchf3	0.121850846
Il27ra	0.121541508
Lime1	0.121423972
Utp11	0.121204771
Lin52	0.121197747
Mrpl42	0.12114032
Saal1	0.12110575
Smarcc1	0.121002208
Syndig1l	0.120893205
Ralyl	0.120883218
Rnf166	0.120819483
Zfp398	0.120717957
Diaph2	0.120697195
Hivep2	0.120541731
Ciao2a	0.120405892
Prex2	0.120224694
Gskip	0.120141902
Gm13378	0.120071656
Prdm16os	0.120003765
Ncapd3	0.119984893
Slco5a1	0.11995409
Mfsd14b	0.119793479
Heatr3	0.119666976
Snx3	0.119649222
Btrc	0.119470219
Atrnl1	0.119432875
Kbtbd8	0.119335728
Otud7b	0.119283411
Car13	0.119001893
Hspa1l	0.118949983
Col4a1	0.11894909
Slc25a27	0.118855085
Cert1	0.118804027
Gm5087	0.118744369
Zfr	0.118704131
Adora2a	0.118571795
Strn4	0.118469227
Esrp2	0.118464237
Hltf	0.118377209
Cnot11	0.118375892
Npl	0.118343651
Tmem67	0.118217965
D6Wsu163e	0.118186764
Ap5z1	0.118030788
Trim37	0.117722939
Rfwd3	0.1176841
Fmo5	0.117474599
Tm9sf3	0.117422953
Cts8	0.117367507
Higd1b	0.117304064
Ift88	0.117112513
Ces2b	0.116546301
Chtf18	0.116113218
Brcc3	0.116096866
Ctif	0.116087966
Dcun1d2	0.116073254
Ncoa1	0.116034834
Psmd9	0.115767466
Sh3gl1	0.115719571
Slu7	0.115680452
Zfp169	0.115517709
Fsd1l	0.115285394
Fzd3	0.115242266
Purb	0.115100887
Alcam	0.115072848
Gm17767	0.114992899
Tead1	0.114977274
Sat1	0.114874341
Mta2	0.11482424
Usf1	0.114572157
Smoc2	0.114553039
Pot1b	0.114510719
Ccni	0.114394413
Gnaq	0.114282314
Adipor1	0.114134121
Tlr8	0.114127779
Icmt	0.114096911
Nars2	0.11408902
Eprs	0.114083188
Pex6	0.114051615
Tmem236	0.113851679
Prickle3	0.113843989
Yeats4	0.113788765
Vmn1r-ps128	0.113648805
Inafm2	0.11364555
Pcdha6	0.113607428
Ints5	0.113422239
2410004P03Rik	0.113379859
Bicdl1	0.113162822
Gtpbp2	0.112926922
Pibf1	0.112813639
Cpne1	0.112759675
Harbi1	0.112728242
Baz1a	0.112269725
Sumf1	0.112115835
Gm14204	0.112058979
Smcr8	0.111932138
Pls1	0.111730208
Rnf146	0.111699675
Kcng4	0.111623164
Rictor	0.111429538
Bvht	0.111405358
Suco	0.11139095
Zfp664	0.111345393
Jph1	0.111304414
Crybg3	0.111186224
Tapt1	0.111181066
Rmi2	0.111158093
Ikzf5	0.111043263
1110046J04Rik	0.110953199
Sec61g	0.110864304
Tmem72	0.110785404
Ube2f	0.110723109
Marchf5	0.110672645
Nsun7	0.110569259
Rpl18a	0.110465205
Sema3a	0.110447954
Dennd6a	0.110399698
Troap	0.110357445
Ppp3r1	0.110005665
Slc5a11	0.109753357
Galc	0.10970498
Ppp1r8	0.10964948
Gm6676	0.109550226
Magohb	0.109463661
Dlg3	0.109424404
Dbf4	0.109388461
Pus10	0.109257484
Zfp292	0.109186004
Olfr1028	0.109150416
Pcnx	0.108955145
Il6st	0.108742667
Slc25a29	0.1087281
Ccdc88a	0.108672892
Golga4	0.108665614
Srbd1	0.108643672
Senp7	0.108515065
Haus2	0.108508865
Gm10925	0.108466276
Rhoh	0.107826931
Zfp335	0.107808086
